"","Cap_Space_Rank","Team","W","L","OT_L","P","Active_Players","Avg_Age","Forward_Cap","Defense_Cap","Goalie_Cap","Total_Cap","Cap_Space","Year","Total_Cash_Rank","Forward_Cash","Defense_Cash","Goalie_Cash","Total_Cash","Total_Cap_M","Total_Cash_M"
"1",1,"Buffalo Sabres",41,33,7,89,"27/23",25.2,38447988,15861937,4082365,64961972,17538028,"22-23",28,47689118,17276610,10075000,76689538,64.961972,76.689538
"2",2,"Arizona Coyotes",28,41,14,70,"24/23",25.3,28195478,6773144,3608331,66916474,15583526,"22-23",32,37866694,12001718,5360000,55228412,66.916474,55.228412
"3",3,"Anaheim Ducks",23,48,12,58,"27/23",26.4,34682978,13004932,6773460,70771464,11728536,"22-23",25,45636096,23007432,9815000,81121028,70.771464,81.121028
"4",4,"Detroit Red Wings",35,37,10,80,"24/23",26.4,33494955,11913333,5325675,74389974,8110026,"22-23",30,40567831,17292500,7925000,67340887,74.389974,67.340887
"5",5,"Ottawa Senators",39,35,8,86,"26/23",26,36005102,17806477,3996667,79249572,3250428,"22-23",27,47984728,18746368,7225000,77414429,79.249572,77.414429
"6",6,"Los Angeles Kings",47,25,10,104,"24/23",26.5,41752091,20915940,906755,80201091,1661409,"22-23",26,49217500,23083932,3561688,78179787,80.201091,78.179787
"7",7,"St Louis Blues",37,38,7,81,"25/23",27.6,29140524,28837020,7286616,80101059,1298941,"22-23",24,36848836,34867500,9667500,81383836,80.101059,81.383836
"8",8,"New York Islanders",42,31,9,93,"25/23",28.6,45918026,21299052,9000000,81095304,1158901,"22-23",19,49765067,25937500,9500000,85202567,81.095304,85.202567
"9",9,"Minnesota Wild",46,25,11,103,"31/23",27.6,33643206,26834595,4287500,81536653,963347,"22-23",22,44453475,30521358,6092500,82733999,81.536653,82.733999
"10",10,"Chicago Blackhawks",26,49,7,59,"27/23",27.4,30490403,21685136,5324774,81479214,783286,"22-23",31,31729275,22912522,5801340,63293138,81.479214,63.293138
"11",11,"Winnipeg Jets",46,33,3,95,"26/23",27.7,45208306,27562500,7066666,81731652,768348,"22-23",16,47388465,33687500,7742500,88818465,81.731652,88.818465
"12",12,"Nashville Predators",42,31,8,92,"27/23",26.6,26440086,24290622,6500000,81960554,539446,"22-23",18,47762653,27818387,8097500,85678540,81.960554,85.67854
"13",13,"Calgary Flames",38,27,17,93,"23/23",28.6,47820088,22433659,6750000,82293761,206239,"22-23",10,51964196,30831294,10385000,93180490,82.293761,93.18049
"14",14,"Dallas Stars",47,21,14,108,"25/23",27.6,49443974,22976337,5108552,81809018,15982,"22-23",9,60366088,29275000,5794152,95435240,81.809018,95.43524
"15",15,"Edmonton Oilers",50,23,9,109,"22/23",27.5,47339756,18549273,5750000,81604000,0,"22-23",4,54494689,31395080,10342500,99648936,81.604,99.648936
"16",16,"Seattle Kraken",46,28,8,100,"23/23",27.9,34984976,20276149,8017566,82500000,0,"22-23",13,58696112,22598649,8800000,90094761,82.5,90.094761
"17",17,"Washington Capitals",35,37,10,80,"23/23",29.2,52379580,14060208,6350000,82400000,0,"22-23",21,62067770,12448888,8872500,83389158,82.4,83.389158
"18",18,"Montreal Canadiens",31,45,6,68,"28/23",26.5,45686222,15666215,3875000,81367500,0,"22-23",3,66409325,22227500,12500000,101970158,81.3675,101.970158
"19",19,"New Jersey Devils",52,22,8,112,"25/23",25.8,43316248,23748251,6535727,82500000,0,"22-23",8,51746733,29282500,13075000,96429233,82.5,96.429233
"20",20,"Carolina Hurricanes",52,21,9,113,"23/23",28.5,38771917,23300270,6500000,82387500,0,"22-23",5,57719676,31897820,8000000,97617496,82.3875,97.617496
"21",21,"Pittsburgh Penguins",40,31,11,91,"22/23",30.6,43998640,21080405,5300000,82500000,0,"22-23",17,47213982,32616317,7967500,88714466,82.5,88.714466
"22",22,"Boston Bruins",65,12,5,135,"24/23",28.1,40386425,26262702,5938377,82500000,0,"22-23",11,50189780,33399961,9340000,92929741,82.5,92.929741
"23",23,"Philadelphia Flyers",31,38,13,75,"20/23",26.5,34586628,18904680,4733054,82205000,0,"22-23",14,50818113,30392500,6404000,89924137,82.205,89.924137
"24",24,"Toronto Maple Leafs",50,22,11,111,"26/23",28.5,51452701,18251081,6487500,82287500,0,"22-23",20,48581467,26435464,9625000,84641931,82.2875,84.641931
"25",25,"Tampa Bay Lightning",46,30,6,98,"23/23",29,45898241,21221245,10400000,82500000,0,"22-23",2,56454542,34910000,13492500,106618947,82.5,106.618947
"26",26,"San Jose Sharks",22,44,16,60,"25/23",26.9,31926924,26317684,5000000,82500000,0,"22-23",23,42775944,31310464,6192500,82253909,82.5,82.253909
"27",27,"Vancouver Canucks",38,37,7,83,"24/23",25.6,30948867,17974325,5531081,81250000,0,"22-23",15,47191971,34603032,5250000,89445003,81.25,89.445003
"28",28,"Colorado Avalanche",50,24,7,107,"23/23",28.4,37916123,29730384,5400000,82475000,0,"22-23",12,46838436,37027468,6670000,90535904,82.475,90.535904
"29",29,"Columbus Blue Jackets",25,47,9,59,"28/23",24.8,35263485,9648281,5639188,82500000,0,"22-23",29,41387500,25972500,6949324,75200991,82.5,75.200991
"30",30,"Vegas Golden Knights",51,22,9,111,"28/23",28,40400473,28256124,6055315,82500000,0,"22-23",1,56735234,35675000,14350588,106760822,82.5,106.760822
"31",31,"New York Rangers",47,22,13,107,"21/23",27.4,44300198,23528378,7166667,82519010,-19010,"22-23",7,56171032,27412297,10767500,96617496,82.51901,96.617496
"32",32,"Florida Panthers",42,32,8,92,"24/23",27.8,40183557,18053604,10299996,86883522,-5021022,"22-23",6,57912500,23289886,13500000,97127386,86.883522,97.127386
"33",1,"Anaheim Ducks",31,37,14,76,"24/23",26.6,21878250,13714189,7350000,60305455,21194545,"21-22",32,29055875,16265683,8192500,56176558,60.305455,56.176558
"34",2,"Buffalo Sabres",32,39,11,75,"26/23",26.2,36795841,18036882,1557500,65994622,15505378,"21-22",28,41327886,21812119,2280750,67069565,65.994622,67.069565
"35",3,"Columbus Blue Jackets",37,38,7,81,"25/23",25,35904150,15063768,6800000,69433690,12066310,"21-22",26,41865387,20109222,9787853,72654128,69.43369,72.654128
"36",4,"Detroit Red Wings",32,40,10,74,"26/23",26.2,30612940,14665833,6828000,69557687,11942313,"21-22",31,31803569,18301250,9728000,61388375,69.557687,61.388375
"37",5,"Ottawa Senators",33,42,7,73,"25/23",25,27648941,23803783,920875,71522731,9977269,"21-22",30,33076664,19889241,8583750,63382988,71.522731,63.382988
"38",6,"Nashville Predators",45,30,7,97,"27/23",26.2,38556995,21576916,6349009,71653906,9846094,"21-22",17,46773750,27203750,6971250,83223750,71.653906,83.22375
"39",7,"Seattle Kraken",27,49,6,60,"23/23",26.7,35300525,17696250,9400000,71773775,9726225,"21-22",29,39300825,18046250,7500000,64847075,71.773775,64.847075
"40",8,"New Jersey Devils",27,46,9,63,"31/23",24.5,32028163,28776790,3587500,73577425,7922575,"21-22",25,36482812,29379989,7187500,75050301,73.577425,75.050301
"41",9,"San Jose Sharks",32,37,13,77,"27/23",26.4,29695975,30611128,2975000,76292867,5207133,"21-22",14,42910323,37032528,4401250,86010768,76.292867,86.010768
"42",10,"New York Islanders",37,35,10,84,"25/23",28.9,50211667,15660420,9000000,79269354,2230646,"21-22",6,60490000,20001500,10000000,90491500,79.269354,90.4915
"43",11,"Dallas Stars",46,30,6,98,"25/23",28.1,47971796,26292847,1602000,81500000,0,"21-22",5,55532500,29313833,7206884,92053217,81.5,92.053217
"44",12,"Los Angeles Kings",44,27,11,99,"27/23",25.8,41266489,15003818,6658333,81500000,0,"21-22",23,42402751,30012162,4750000,79481580,81.5,79.48158
"45",13,"Carolina Hurricanes",54,20,8,116,"24/23",27,52667785,21275000,6550556,81500000,0,"21-22",2,59712535,30945000,6662500,97320035,81.5,97.320035
"46",14,"Vegas Golden Knights",43,31,8,94,"21/23",28,50703750,23987500,5260000,81500000,0,"21-22",3,61943750,23642500,7751125,93337375,81.5,93.337375
"47",15,"Pittsburgh Penguins",46,25,11,103,"23/23",29.2,49299502,26125175,5031250,81500000,0,"21-22",8,53840125,27311425,6956250,89024467,81.5,89.024467
"48",16,"Montreal Canadiens",22,49,11,55,"27/23",26.5,32370401,15901372,14125000,81500000,0,"21-22",21,40086600,23287207,15750000,79957140,81.5,79.95714
"49",17,"Philadelphia Flyers",25,46,11,61,"24/23",26.1,34826363,19479637,6089000,81500000,0,"21-22",11,47253481,31688125,6431500,87015963,81.5,87.015963
"50",18,"Washington Capitals",44,26,12,100,"24/23",29.4,52953749,24591667,2716667,81500000,0,"21-22",13,56356750,26267500,3500000,86124250,81.5,86.12425
