Cap_Space_Rank,Team,Record,Active_Players,Avg_Age,Forward_Cap,Defense_Cap,Goalie_Cap,Total_Cap,Cap_Space,Year
1,Buffalo Sabres,41-33-7 (89),27/23,25.2,38447988,15861937,4082365,64961972,17538028,22-23
2,Arizona Coyotes,28-41-14 (70),24/23,25.3,28195478,6773144,3608331,66916474,15583526,22-23
3,Anaheim Ducks,23-48-12 (58),27/23,26.4,34682978,13004932,6773460,70771464,11728536,22-23
4,Detroit Red Wings,35-37-10 (80),24/23,26.4,33494955,11913333,5325675,74389974,8110026,22-23
5,Ottawa Senators,39-35-8 (86),26/23,26,36005102,17806477,3996667,79249572,3250428,22-23
6,Los Angeles Kings,47-25-10 (104),24/23,26.5,41752091,20915940,906755,80201091,1661409,22-23
7,St Louis Blues,37-38-7 (81),25/23,27.6,29140524,28837020,7286616,80101059,1298941,22-23
8,New York Islanders,42-31-9 (93),25/23,28.6,45918026,21299052,9000000,81095304,1158901,22-23
9,Minnesota Wild,46-25-11 (103),31/23,27.6,33643206,26834595,4287500,81536653,963347,22-23
10,Chicago Blackhawks,26-49-7 (59),27/23,27.4,30490403,21685136,5324774,81479214,783286,22-23
11,Winnipeg Jets,46-33-3 (95),26/23,27.7,45208306,27562500,7066666,81731652,768348,22-23
12,Nashville Predators,42-31-8 (92),27/23,26.6,26440086,24290622,6500000,81960554,539446,22-23
13,Calgary Flames,38-27-17 (93),23/23,28.6,47820088,22433659,6750000,82293761,206239,22-23
14,Dallas Stars,47-21-14 (108),25/23,27.6,49443974,22976337,5108552,81809018,15982,22-23
15,Edmonton Oilers,50-23-9 (109),22/23,27.5,47339756,18549273,5750000,81604000,0,22-23
16,Seattle Kraken,46-28-8 (100),23/23,27.9,34984976,20276149,8017566,82500000,0,22-23
17,Washington Capitals,35-37-10 (80),23/23,29.2,52379580,14060208,6350000,82400000,0,22-23
18,Montreal Canadiens,31-45-6 (68),28/23,26.5,45686222,15666215,3875000,81367500,0,22-23
19,New Jersey Devils,52-22-8 (112),25/23,25.8,43316248,23748251,6535727,82500000,0,22-23
20,Carolina Hurricanes,52-21-9 (113),23/23,28.5,38771917,23300270,6500000,82387500,0,22-23
21,Pittsburgh Penguins,40-31-11 (91),22/23,30.6,43998640,21080405,5300000,82500000,0,22-23
22,Boston Bruins,65-12-5 (135),24/23,28.1,40386425,26262702,5938377,82500000,0,22-23
23,Philadelphia Flyers,31-38-13 (75),20/23,26.5,34586628,18904680,4733054,82205000,0,22-23
24,Toronto Maple Leafs,50-22-11 (111),26/23,28.5,51452701,18251081,6487500,82287500,0,22-23
25,Tampa Bay Lightning,46-30-6 (98),23/23,29,45898241,21221245,10400000,82500000,0,22-23
26,San Jose Sharks,22-44-16 (60),25/23,26.9,31926924,26317684,5000000,82500000,0,22-23
27,Vancouver Canucks,38-37-7 (83),24/23,25.6,30948867,17974325,5531081,81250000,0,22-23
28,Colorado Avalanche,50-24-7 (107),23/23,28.4,37916123,29730384,5400000,82475000,0,22-23
29,Columbus Blue Jackets,25-47-9 (59),28/23,24.8,35263485,9648281,5639188,82500000,0,22-23
30,Vegas Golden Knights,51-22-9 (111),28/23,28,40400473,28256124,6055315,82500000,0,22-23
31,New York Rangers,47-22-13 (107),21/23,27.4,44300198,23528378,7166667,82519010,-19010,22-23
32,Florida Panthers,42-32-8 (92),24/23,27.8,40183557,18053604,10299996,86883522,-5021022,22-23
1,Anaheim Ducks,31-37-14 (76),24/23,26.6,21878250,13714189,7350000,60305455,21194545,21-22
2,Buffalo Sabres,32-39-11 (75),26/23,26.2,36795841,18036882,1557500,65994622,15505378,21-22
3,Columbus Blue Jackets,37-38-7 (81),25/23,25,35904150,15063768,6800000,69433690,12066310,21-22
4,Detroit Red Wings,32-40-10 (74),26/23,26.2,30612940,14665833,6828000,69557687,11942313,21-22
5,Ottawa Senators,33-42-7 (73),25/23,25,27648941,23803783,920875,71522731,9977269,21-22
6,Nashville Predators,45-30-7 (97),27/23,26.2,38556995,21576916,6349009,71653906,9846094,21-22
7,Seattle Kraken,27-49-6 (60),23/23,26.7,35300525,17696250,9400000,71773775,9726225,21-22
8,New Jersey Devils,27-46-9 (63),31/23,24.5,32028163,28776790,3587500,73577425,7922575,21-22
9,San Jose Sharks,32-37-13 (77),27/23,26.4,29695975,30611128,2975000,76292867,5207133,21-22
10,New York Islanders,37-35-10 (84),25/23,28.9,50211667,15660420,9000000,79269354,2230646,21-22
11,Dallas Stars,46-30-6 (98),25/23,28.1,47971796,26292847,1602000,81500000,0,21-22
12,Los Angeles Kings,44-27-11 (99),27/23,25.8,41266489,15003818,6658333,81500000,0,21-22
13,Carolina Hurricanes,54-20-8 (116),24/23,27,52667785,21275000,6550556,81500000,0,21-22
14,Vegas Golden Knights,43-31-8 (94),21/23,28,50703750,23987500,5260000,81500000,0,21-22
15,Pittsburgh Penguins,46-25-11 (103),23/23,29.2,49299502,26125175,5031250,81500000,0,21-22
16,Montreal Canadiens,22-49-11 (55),27/23,26.5,32370401,15901372,14125000,81500000,0,21-22
17,Philadelphia Flyers,25-46-11 (61),24/23,26.1,34826363,19479637,6089000,81500000,0,21-22
18,Washington Capitals,44-26-12 (100),24/23,29.4,52953749,24591667,2716667,81500000,0,21-22
19,Florida Panthers,58-18-6 (122),27/23,26.8,41208520,16005591,11379000,81500000,0,21-22
20,Tampa Bay Lightning,51-23-8 (110),20/23,28.6,45574250,25375000,9500000,81500000,0,21-22
21,Calgary Flames,50-21-11 (111),25/23,27.8,48031912,21332327,6750000,81500000,0,21-22
22,Vancouver Canucks,40-30-12 (92),27/23,27,39500742,25111500,6607793,81500000,0,21-22
23,Colorado Avalanche,56-19-7 (119),26/23,27,44047770,29044167,3544040,81500000,0,21-22
24,Chicago Blackhawks,28-42-12 (68),21/23,25.7,44883756,17114988,800000,81500000,0,21-22
25,St Louis Blues,49-22-11 (109),23/23,28.1,45556375,26863750,6750000,81500000,0,21-22
26,Edmonton Oilers,49-27-6 (104),22/23,29.1,46796976,16326795,6700000,81500000,0,21-22
27,Winnipeg Jets,39-32-11 (89),23/23,26.9,44993232,26351375,6916666,81500000,0,21-22
28,Toronto Maple Leafs,54-21-7 (115),25/23,28.1,53115866,26566815,6200000,81500000,0,21-22
29,Boston Bruins,51-26-5 (107),29/23,27.5,50316090,22091000,5818625,81650744,-150744,21-22
30,New York Rangers,52-24-6 (110),27/23,26.2,48225356,18523625,8091667,82449595,-949595,21-22
31,Minnesota Wild,53-22-7 (113),24/23,28.3,39065050,29300000,7166666,83330618,-1830618,21-22
32,Arizona Coyotes,25-50-7 (57),29/23,26.6,45920633,17632608,988750,85587556,-4087556,21-22
1,New Jersey Devils,19-30-7 (45),24/23,24.4,23330834,25063332,4300000,62254273,19245727,20-21
2,Ottawa Senators,23-28-5 (51),27/23,24.4,30388512,15059690,7251868,66354638,15145362,20-21
3,Los Angeles Kings,21-28-7 (49),26/23,25.5,28945821,20270869,6863489,71143210,10356790,20-21
4,Buffalo Sabres,15-34-7 (37),25/23,25.8,32213944,12879124,5724730,72678411,8821589,20-21
5,Detroit Red Wings,19-27-10 (48),23/23,28.2,31787635,14986960,6600000,73725168,7774832,20-21
6,Columbus Blue Jackets,18-26-12 (48),25/23,25.7,26214564,13505945,6800000,73835118,7664882,20-21
7,New York Rangers,27-23-6 (60),25/23,25,38028975,15894016,3322184,74226625,7273375,20-21
8,Carolina Hurricanes,36-12-8 (80),28/23,26.2,42619489,25468718,7122652,77568328,3931672,20-21
9,Calgary Flames,26-27-3 (55),25/23,27.4,44320731,22819366,6156884,77897228,3602772,20-21
10,Philadelphia Flyers,24-23-9 (57),24/23,26.1,49117810,20727564,2435989,78849867,2650133,20-21
11,San Jose Sharks,21-28-7 (49),29/23,26.1,38725559,30754954,5972452,79896022,1603978,20-21
12,Florida Panthers,37-14-5 (79),30/23,25.8,33282587,27893581,11073272,80743103,756897,20-21
13,Minnesota Wild,35-16-5 (75),22/23,28.5,41082212,32180128,4391666,81088412,411588,20-21
