Total_Cash_Rank,Team,Forward_Cash,Defense_Cash,Goalie_Cash,Total_Cash,Year
32,Arizona Coyotes,37866694,12001718,5360000,55228412,22-23
31,Chicago Blackhawks,31729275,22912522,5801340,63293138,22-23
30,Detroit Red Wings,40567831,17292500,7925000,67340887,22-23
29,Columbus Blue Jackets,41387500,25972500,6949324,75200991,22-23
28,Buffalo Sabres,47689118,17276610,10075000,76689538,22-23
27,Ottawa Senators,47984728,18746368,7225000,77414429,22-23
26,Los Angeles Kings,49217500,23083932,3561688,78179787,22-23
25,Anaheim Ducks,45636096,23007432,9815000,81121028,22-23
24,St Louis Blues,36848836,34867500,9667500,81383836,22-23
23,San Jose Sharks,42775944,31310464,6192500,82253909,22-23
22,Minnesota Wild,44453475,30521358,6092500,82733999,22-23
21,Washington Capitals,62067770,12448888,8872500,83389158,22-23
20,Toronto Maple Leafs,48581467,26435464,9625000,84641931,22-23
19,New York Islanders,49765067,25937500,9500000,85202567,22-23
18,Nashville Predators,47762653,27818387,8097500,85678540,22-23
17,Pittsburgh Penguins,47213982,32616317,7967500,88714466,22-23
16,Winnipeg Jets,47388465,33687500,7742500,88818465,22-23
15,Vancouver Canucks,47191971,34603032,5250000,89445003,22-23
14,Philadelphia Flyers,50818113,30392500,6404000,89924137,22-23
13,Seattle Kraken,58696112,22598649,8800000,90094761,22-23
12,Colorado Avalanche,46838436,37027468,6670000,90535904,22-23
11,Boston Bruins,50189780,33399961,9340000,92929741,22-23
10,Calgary Flames,51964196,30831294,10385000,93180490,22-23
9,Dallas Stars,60366088,29275000,5794152,95435240,22-23
8,New Jersey Devils,51746733,29282500,13075000,96429233,22-23
7,New York Rangers,56171032,27412297,10767500,96617496,22-23
6,Florida Panthers,57912500,23289886,13500000,97127386,22-23
5,Carolina Hurricanes,57719676,31897820,8000000,97617496,22-23
4,Edmonton Oilers,54494689,31395080,10342500,99648936,22-23
3,Montreal Canadiens,66409325,22227500,12500000,101970158,22-23
2,Tampa Bay Lightning,56454542,34910000,13492500,106618947,22-23
1,Vegas Golden Knights,56735234,35675000,14350588,106760822,22-23
1,Tampa Bay Lightning,55706250,36710000,13655000,107833155,21-22
2,Carolina Hurricanes,59712535,30945000,6662500,97320035,21-22
3,Vegas Golden Knights,61943750,23642500,7751125,93337375,21-22
4,Calgary Flames,57219750,28281250,6271750,93272750,21-22
5,Dallas Stars,55532500,29313833,7206884,92053217,21-22
6,New York Islanders,60490000,20001500,10000000,90491500,21-22
7,St Louis Blues,53723750,30678750,5592500,90229000,21-22
8,Pittsburgh Penguins,53840125,27311425,6956250,89024467,21-22
9,Colorado Avalanche,49423845,30916000,8149967,88489812,21-22
